Abbott,Abbott Laboratories
Abbott,Abbott Labs
AbbVie,AbbVie
AstraZeneca,AstraZeneca
Bristol Myers Squibb,Bristol-Myers Squibb
Bristol Myers Squibb,Bristol Myers Squibb
Boston Scientific,Boston Scientific
GSK,GSK
GSK,GlaxoSmithKline
GSK,GSK plc
Johnson & Johnson,JNJ
Johnson & Johnson,J&J
Johnson & Johnson,Johnson & Johnson
Johnson & Johnson,Johnson and Johnson
Medtronic,Medtronic
Medtronic,Medtronic plc
Merck,Merck
Merck,Merck & Co
Stryker,Stryker
Pfizer,Pfizer
Eli Lilly,Eli Lilly
Eli Lilly,Lilly
Novo Nordisk,Novo Nordisk
Intuitive Surgical,Intuitive Surgical
Regeneron,Regeneron
Kenvue,Kenvue
